chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,poly_features,tonnetz,zero_crossing_rate,tempogram
[0.58773536 0.29694636 0.28963431 ... 0.31366376 0.26045596 0.29971929],[0.64307213 0.76060319 0.67382298 ... 0.4780174  0.46225822 0.67021646],[0.25392481 0.25162883 0.24929304 ... 0.25382985 0.25345487 0.25298187],"[1.47106521e-06 6.20317838e-02 2.02360033e+00 ... 9.06634338e+00
 9.67936738e+00 5.71722503e+00]","[-25.40875078  -5.93134367  -0.39897195 ...  -3.7170312   -3.67157633
  -2.3488321 ]",[0.00127408 0.06820969 0.10701156 ... 0.18919644 0.1805207  0.18980978],"[3994.56867888 1535.37182126 1151.83343108 ... 1298.72513346 1212.12628777
 1291.64569821]","[2955.98572116 2109.71786888 1680.80934613 ... 1800.34539649 1717.03993837
 1817.55871369]","[26.44516463 15.90510164 16.46492587 ... 21.8900736  21.79551548
 20.32479469]",[0.03931514 0.00740334 0.00207948 ... 0.00159235 0.00132767 0.00223402],"[7644.28710938 2810.08300781 2131.78710938 ... 2551.68457031 2045.65429688
 2228.68652344]","[1.54782721e-03 2.77910128e-01 1.36472679e+00 ... 2.11483696e+00
 2.18409238e+00 1.93665108e+00]","[-0.01320328 -0.003631   -0.00148736 ...  0.01680352  0.02599011
 -0.01738274]",[0.31835938 0.34082031 0.35693359 ... 0.05078125 0.04541016 0.03125   ],[0.03844375 0.03900345 0.03957216 ... 0.20289157 0.20278077 0.20267791]
[0.56456719 0.79875514 0.58042943 ... 0.49159593 0.24739319 0.24646983],[0.49708862 0.7336939  0.73368156 ... 0.28352677 0.35191411 0.37975431],[0.28471612 0.28396178 0.28292982 ... 0.20578161 0.20473984 0.20390788],"[3.29452988e-05 5.20301845e-01 1.13999227e+01 ... 1.98399134e+00
 2.73359107e+00 2.48440985e+00]","[-23.64598334  -2.38896428   4.75319797 ...   2.51968133   3.0655398
   3.62152943]",[0.00580437 0.16201602 0.20720562 ... 0.10061467 0.10025792 0.10640468],"[3906.05747964 1960.11045859 1856.46600831 ...  674.33217722  833.34832118
 1140.96983519]","[3026.29394911 2672.71527745 2759.34656717 ...  890.47507176 1231.88789553
 1799.50995909]","[23.60075908 11.5476052  13.08824096 ... 19.82557894 18.93974248
 18.99124051]",[0.04225525 0.0133113  0.00687164 ... 0.00010993 0.00047818 0.00172126],"[7601.22070312 5221.80175781 5254.1015625  ...  947.4609375   979.76074219
 1679.58984375]",[0.0066508  0.62615967 2.20942012 ... 1.16582313 1.28523553 1.20860554],"[-0.01739319 -0.00679324 -0.00608911 ...  0.06397359  0.02776976
  0.03358803]",[0.28808594 0.31054688 0.31787109 ... 0.04882812 0.04638672 0.03564453],[0.0314777  0.03171953 0.03196259 ... 0.13296361 0.13344505 0.1339323 ]
[0.34387834 0.21929426 0.22435637 ... 0.20091183 0.20559812 0.2413615 ],[0.49695933 0.64786872 0.76849881 ... 0.39486538 0.44224569 0.53294674],[0.27173365 0.27150914 0.27129343 ... 0.26374103 0.26134847 0.25893055],"[1.44364703e-08 8.68894095e-05 1.63521992e-03 ... 1.93047342e+00
 2.35319839e+00 1.97118071e+00]","[-27.08921798 -26.78896105 -25.79349689 ...  -7.80034681  -4.31820454
  -1.77989463]",[0.00019765 0.0046429  0.00663911 ... 0.09775408 0.09369171 0.09812795],"[5868.88130348 5960.53841827 5976.97812418 ... 1342.66343215 1284.80093839
 1393.57733064]","[2370.81217115 2011.59556757 1895.06658564 ... 1596.57413501 1580.0613187
 1760.29917387]","[25.28548447 15.00825072 17.86929531 ... 20.45633915 18.95924677
 19.09960172]",[0.05333769 0.01525652 0.00849566 ... 0.00098335 0.00122518 0.00284724],"[9140.84472656 8591.74804688 8010.3515625  ... 1948.75488281 1733.42285156
 2013.35449219]","[1.14923989e-04 6.20215004e-03 2.18989549e-02 ... 9.26273413e-01
 1.08939086e+00 1.20352175e+00]","[-0.03410276 -0.01860579  0.0007767  ...  0.01370587  0.00802065
  0.01599285]",[0.34375    0.47900391 0.61572266 ... 0.07128906 0.06298828 0.04638672],[0.08486166 0.08533218 0.08580297 ... 0.16259496 0.16263361 0.162682  ]
[0.70249244 0.71824974 0.61376063 ... 0.26425312 0.22986277 0.24391064],[0.5242689  0.7304842  0.79449332 ... 0.49738664 0.50702924 0.66013754],[0.2674997  0.26617293 0.2647991  ... 0.26877671 0.26812808 0.26749017],"[5.44887012e-10 3.81678298e-08 6.36840095e-07 ... 1.63361597e-01
 1.48808080e-01 1.08877950e-01]","[-27.52984938 -27.52984938 -27.52984938 ...  -8.89758687 -10.23344435
 -11.17628108]","[8.1700146e-06 4.3853495e-05 6.8946829e-05 ... 2.7102700e-02 2.5746800e-02
 2.4883704e-02]","[5198.72464447 4879.10301    4504.02849686 ... 1803.6463042  1691.4815898
 1871.63029808]","[3275.89160592 3399.97249456 3455.89059285 ... 1817.87709021 1786.63630198
 1941.50670219]","[20.93639619 13.96979394 17.6346688  ... 25.00095998 21.82650743
 20.46004228]",[0.29391494 0.34335196 0.24823585 ... 0.00139847 0.00190415 0.0042428 ],"[9259.27734375 9065.47851562 9000.87890625 ... 3466.84570312 3294.58007812
 3391.47949219]","[3.13819243e-05 2.61181986e-04 1.00077297e-03 ... 2.93406080e-01
 2.78444760e-01 2.87232998e-01]","[-0.02371171  0.00403659 -0.00606015 ...  0.04503481  0.05140796
  0.02377081]",[0.34667969 0.42236328 0.44384766 ... 0.13720703 0.11230469 0.07519531],[0.12208813 0.12283086 0.12357708 ... 0.08422398 0.08413426 0.08405295]
[0.5975084  0.37607724 0.31133153 ... 0.53294752 0.42929432 0.33916068],[0.57828897 0.84862742 0.59612229 ... 0.55756582 0.61888188 0.72418953],[0.25468996 0.25348708 0.25240539 ... 0.25954939 0.25913733 0.25894035],"[9.46171194e-07 6.23234533e-02 1.22373729e+00 ... 4.95353690e-01
 1.31312324e+00 1.77840044e+00]","[-27.98863007 -15.97992555  -9.75244995 ...  -5.15864246  -4.22608365
  -5.0384382 ]",[0.00082079 0.05147227 0.07405724 ... 0.06372408 0.07135314 0.07867663],"[2324.92451366 1714.56706577 1696.65553977 ... 1523.67108865 1503.51309081
 1536.94480848]","[2255.47692614 1889.22110643 1888.31046835 ... 1912.89832227 1987.20287019
 1997.08135219]","[25.67195358 15.26924265 18.50332626 ... 19.17006481 18.01285502
 19.56309023]",[0.01542645 0.00798227 0.00602554 ... 0.00467419 0.0047375  0.00433945],"[4877.27050781 3176.14746094 3186.9140625  ... 2917.74902344 2799.31640625
 2960.81542969]","[1.22963552e-03 2.70712186e-01 1.11991775e+00 ... 6.84325647e-01
 1.08532834e+00 1.23372861e+00]","[ 0.01546215  0.00509969  0.00490871 ... -0.02136666 -0.0248634
 -0.02627484]",[0.29345703 0.32080078 0.34033203 ... 0.05859375 0.06347656 0.04394531],[0.0326592  0.03303685 0.03341915 ... 0.25261128 0.25257732 0.25254313]
[0.73265103 0.81585699 0.75935457 ... 0.16387705 0.17351797 0.2689843 ],[0.52821988 0.56563129 0.61783099 ... 0.53718627 0.50119429 0.60590775],[0.26942808 0.27179611 0.27400233 ... 0.25612556 0.25593393 0.25574716],"[1.31892116e-08 1.66477322e-08 7.70929973e-08 ... 9.18131038e+00
 8.29387850e+00 7.32009379e+00]","[-27.39099133 -27.39099133 -27.39099133 ...   0.72608875   1.43484022
   3.87078987]","[1.5648257e-05 2.0533611e-05 2.5247087e-05 ... 1.8634182e-01 1.8324627e-01
 1.8441366e-01]","[5476.28314643 5412.52839164 4707.28968747 ...  943.84561241 1256.02240351
 1627.00874201]","[2928.52992032 2933.37972174 3278.38064934 ... 1513.45282063 1944.31691438
 2416.87538207]","[21.50728127 12.43424475 13.86800623 ... 23.31901727 18.72451425
 17.96071946]","[2.2552179e-01 4.3748456e-01 2.9480031e-01 ... 3.3203230e-04 2.1482385e-03
 8.5233394e-03]","[8817.84667969 8807.08007812 8774.78027344 ... 1421.19140625 2067.1875
 2950.04882812]","[1.56565490e-04 1.98492313e-04 3.59228371e-04 ... 1.98567409e+00
 2.08859833e+00 2.55055897e+00]","[ 0.02844455  0.00890864  0.00945697 ... -0.00211943 -0.01252103
 -0.03803132]",[0.25341797 0.33251953 0.39990234 ... 0.04296875 0.03613281 0.02685547],[0.03460587 0.03500039 0.03539981 ... 0.23040587 0.23088297 0.23135621]
[0.64403613 0.81088037 0.56514903 ... 0.29011343 0.31592889 0.37356484],[0.58291767 0.57016827 0.51732281 ... 0.5497032  0.59173361 0.63433181],[0.19920017 0.19909611 0.19918302 ... 0.25709995 0.25615535 0.25523148],"[1.64451312e-06 5.69250405e-02 1.72923722e+00 ... 8.01703532e+00
 5.40158638e+00 2.33002286e+00]","[-27.77114736  -4.88220902   2.04236698 ...   4.61852881   3.84525271
   2.10898768]",[0.00100167 0.06592035 0.10662702 ... 0.17750253 0.14060213 0.13788886],"[3958.02997743 1440.66714312 1015.0614787  ... 1644.11200635 1639.66249354
 1643.16159416]","[3264.98387782 2245.23226806 1871.72777046 ... 2610.42952864 2580.07651639
 2410.30372991]","[24.58613458 12.50208551 15.11624925 ... 21.4611429  20.09204857
 18.22110072]",[0.01992737 0.0043283  0.00096078 ... 0.00281297 0.00364451 0.00613476],"[8150.31738281 3359.1796875  1981.0546875  ... 4123.60839844 3897.50976562
 3714.47753906]","[1.31056347e-03 2.12143874e-01 8.45186136e-01 ... 1.69347740e+00
 1.56576829e+00 1.33057222e+00]","[ 0.00530058 -0.00141781 -0.0024089  ... -0.01351919 -0.0065388
 -0.00065703]",[0.31494141 0.33740234 0.33837891 ... 0.03759766 0.05322266 0.04443359],[0.03351971 0.03376224 0.0340059  ... 0.2273513  0.2277341  0.2281253 ]
[0.65052691 0.48405205 0.26384685 ... 0.3288637  0.28444366 0.2864709 ],[0.66182268 0.77904629 0.57390367 ... 0.57380207 0.59968764 0.75397207],[0.24177869 0.23655438 0.23146574 ... 0.27568309 0.27491194 0.27412799],"[1.67247138e-07 6.13661562e-03 1.34355364e-01 ... 9.62060061e+00
 8.23325628e+00 5.42471010e+00]","[-27.73796112 -20.39046062 -14.17831897 ...   3.38937723   3.35715084
   1.42975224]",[0.00036917 0.01702139 0.02968807 ... 0.19560437 0.1830517  0.1776585 ],"[4334.57586419 2065.48202516 1902.04166757 ... 1866.32554426 1919.77142844
 1899.46244018]","[3524.72935024 2601.42473533 2548.5262233  ... 2250.00275848 2309.91304362
 2264.76439773]","[26.90368829 10.80404461 12.13636894 ... 21.61892901 19.84340346
 18.90151844]",[0.02257439 0.013963   0.00712249 ... 0.00768712 0.00943918 0.00999876],"[9108.54492188 5167.96875    4705.00488281 ... 4091.30859375 4306.640625
 4263.57421875]","[3.86079777e-04 7.01736518e-02 2.45966232e-01 ... 2.66469348e+00
 2.51439333e+00 2.24364913e+00]","[-0.03493515 -0.01030949 -0.00644866 ...  0.04344201  0.03081543
 -0.01464977]",[0.33447266 0.35693359 0.36474609 ... 0.06738281 0.06298828 0.04931641],[0.0681369  0.0687237  0.06931604 ... 0.26091307 0.26114    0.26136376]
[0.6576028  0.88118909 0.5913019  ... 0.24055174 0.25608224 0.3912531 ],[0.5727287  0.71883477 0.65503324 ... 0.31866947 0.36915644 0.5283481 ],[0.2623818  0.26075982 0.25910101 ... 0.21254399 0.21188891 0.21134333],"[3.95455458e-07 6.16557962e-03 1.89562090e-01 ... 4.67722365e-01
 4.04958309e-01 3.11928700e-01]","[-29.9109613  -10.11099779  -3.26427464 ...  -6.69337785  -6.48110196
  -7.47499587]",[0.00046924 0.01910248 0.07211228 ... 0.04365659 0.0411599  0.04012477],"[3399.96034161 1210.57255052  880.18235626 ...  770.78005673  805.49210605
  832.71442142]","[3204.12245844 2196.26676286 1669.97258991 ... 1279.59101019 1277.32235294
 1290.89163423]","[24.60498636 16.66415617 18.62101089 ... 22.76183628 22.53461619
 20.03994049]",[0.02715361 0.00123547 0.00052578 ... 0.00022136 0.00027648 0.00041313],"[7665.8203125  2077.95410156 1485.79101562 ... 1335.05859375 1399.65820312
 1399.65820312]",[0.00070254 0.06432894 0.32267143 ... 0.4216815  0.43233903 0.43905173],"[ 0.05574167  0.01356109 -0.00585496 ... -0.04043111 -0.03473546
 -0.00218961]",[0.27539062 0.28808594 0.29345703 ... 0.02587891 0.02246094 0.015625  ],[0.04268286 0.043242   0.04381041 ... 0.26600867 0.2657709  0.2655348 ]
[0.72481377 0.70256836 0.59034004 ... 0.38699413 0.39763863 0.39211781],[0.42917229 0.46912965 0.54160071 ... 0.46000916 0.51496883 0.57945106],[0.2372233  0.23763786 0.23815948 ... 0.25086494 0.25197225 0.25306852],"[1.09627973e-05 2.09763791e-01 5.31990950e+00 ... 1.09568586e+00
 1.02228787e+00 8.40722371e-01]","[-26.30316794  -1.64304115   6.16535906 ...  -5.92563963  -2.7820693
  -1.27054381]",[0.00400272 0.11385125 0.16109934 ... 0.07718594 0.07680857 0.07958436],"[4450.51687859 2390.45814055 2475.4278599  ... 4788.00376804 5245.52194882
 4983.37136058]","[3013.05085904 2905.09726771 3032.65801705 ... 3812.54374862 3657.51176978
 3523.88467607]","[21.80417175 11.2682948  14.22512151 ... 20.0004767  17.23016195
 19.59162043]",[0.09505107 0.03594655 0.02436996 ... 0.06723792 0.10871501 0.10174815],"[8064.18457031 6180.02929688 6567.62695312 ... 9345.41015625 9183.91113281
 8828.61328125]",[0.00441021 0.50463588 2.00447783 ... 0.74635068 0.80695371 0.84510212],"[-0.00718432  0.00127182  0.0022199  ...  0.01050435  0.0148225
  0.02645339]",[0.31542969 0.34472656 0.36376953 ... 0.21875    0.23339844 0.21044922],[0.02765905 0.02792816 0.02820021 ... 0.24843868 0.24789275 0.24735556]
[0.63333356 0.74706597 0.55391585 ... 0.42153214 0.39058107 0.50219704],[0.75216459 0.79161524 0.77057477 ... 0.36499236 0.36897275 0.39365673],[0.28543145 0.28559327 0.28576269 ... 0.26800598 0.26533779 0.26253289],"[3.02515353e-06 5.33191796e-01 6.87768564e+00 ... 5.57339204e+00
 5.20166672e+00 3.20440383e+00]","[-27.41125386  -1.90999355   3.85747216 ...   3.04794134   3.38904786
   4.27114098]",[0.00234606 0.11736477 0.13468178 ... 0.15464723 0.14366034 0.1401014 ],"[4314.32653883 1606.97147909 2071.36410344 ... 1870.71651554 1906.81246069
 1927.51509151]","[3309.85228278 2339.3275669  2492.49819232 ... 2059.31675426 2133.21584435
 2218.33503377]","[23.75570834 12.87541364 16.29302536 ... 19.72918475 19.52802813
 19.05015097]",[0.02625341 0.00609872 0.01431821 ... 0.00887816 0.00948302 0.01211689],"[8785.546875   4177.44140625 5221.80175781 ... 3875.9765625  3940.57617188
 3929.80957031]","[2.12904703e-03 6.41165146e-01 2.39872728e+00 ... 2.32459115e+00
 2.14366734e+00 1.89276455e+00]","[ 0.01150862  0.00705435  0.00493811 ... -0.047143   -0.04999168
 -0.0466682 ]",[0.29882812 0.32373047 0.38037109 ... 0.08398438 0.08056641 0.05810547],[0.02916736 0.02953802 0.02991346 ... 0.20303175 0.20326942 0.20351427]
[0.53058102 0.52983598 0.54544676 ... 0.22827325 0.24541394 0.30851432],[0.6500892  0.7558512  0.71977269 ... 0.4818376  0.47978851 0.61053626],[0.28266717 0.28248323 0.28230171 ... 0.27277234 0.27212301 0.27138615],"[7.47310116e-06 6.75264669e-02 1.20014308e+00 ... 3.12872226e+00
 3.53641481e+00 2.68331695e+00]","[-2.56148762e+01 -5.42811929e+00 -1.69336908e-01 ... -2.86048250e+00
  6.31866137e-02  1.09525949e-02]",[0.00317846 0.05500288 0.07350803 ... 0.12551078 0.11749406 0.12188572],"[4342.90937814 2924.00144513 3155.60453387 ... 1670.32447158 1537.34721531
 1570.55180925]","[3154.74408359 2908.87539418 3013.90664052 ... 1914.25756164 1831.30625644
 1881.46830094]","[26.20433316 11.790691   14.59187309 ... 22.85377103 20.99632856
 21.05170755]",[0.14008515 0.10360467 0.11048691 ... 0.0036465  0.00367077 0.00488565],"[8204.15039062 6782.95898438 7116.72363281 ... 3100.78125    2960.81542969
 2896.21582031]",[0.00378946 0.36326311 1.45346363 ... 1.50714483 1.71172806 1.71063416],"[ 0.03160429  0.01521714  0.00506777 ... -0.01481526 -0.01442184
 -0.00419287]",[0.29052734 0.34814453 0.39111328 ... 0.08154297 0.08203125 0.06054688],[0.02905718 0.02939042 0.02972806 ... 0.16846325 0.16846437 0.16847085]
[0.65253789 0.31234729 0.22403697 ... 0.28792709 0.52405331 0.46202936],[0.53451001 0.67192686 0.76417612 ... 0.46480007 0.57373592 0.72427493],[0.27527611 0.27659087 0.27795051 ... 0.24917822 0.24981462 0.2505259 ],"[2.70867870e-07 8.88951126e-04 1.74788866e-02 ... 6.41524235e-01
 2.11579795e+00 2.91386392e+00]","[-26.47957437 -21.17787055 -16.3057438  ...  -2.4591081   -2.24754951
  -1.50989783]",[0.00050762 0.0080347  0.01004582 ... 0.07395059 0.09152263 0.10081094],"[4240.49657925 5241.78948407 5809.65083662 ... 1731.39044577 1737.19987779
 1845.74935094]","[3238.73148399 3478.71123699 3420.64748887 ... 2346.31295779 2222.41911269
 2249.99618889]","[25.89556191 14.76232862 15.98937015 ... 17.45545794 18.37863066
 19.75858272]",[0.06356457 0.11829679 0.09767353 ... 0.00799215 0.00858207 0.00784741],"[8042.65136719 9485.37597656 9528.44238281 ... 3596.04492188 3520.67871094
 3875.9765625 ]","[6.41802492e-04 2.45334031e-02 7.08845263e-02 ... 7.11534825e-01
 1.33193713e+00 1.53696120e+00]","[-0.02324204 -0.02258473 -0.00573879 ... -0.0322753   0.0178132
  0.0218411 ]",[0.33447266 0.42333984 0.54248047 ... 0.04541016 0.05224609 0.04248047],[0.04650207 0.04695312 0.04740802 ... 0.20344027 0.20349957 0.20356326]
[0.81554077 0.48134514 0.4352512  ... 0.27021893 0.39618623 0.48840645],[0.36439681 0.63250978 0.5587364  ... 0.43953462 0.54206972 0.62248793],[0.28058924 0.28168924 0.28259877 ... 0.24138209 0.24159763 0.24181722],"[4.50380266e-10 3.82569650e-08 3.46546482e-07 ... 6.80863216e+00
 7.90429956e+00 7.37206893e+00]","[-28.32257095 -28.32257095 -28.32257095 ...   0.42249499   0.03941747
   0.34640903]","[9.7058746e-06 4.6043155e-05 4.6256642e-05 ... 1.8678908e-01 1.8071806e-01
 1.8176831e-01]","[5132.7238538  5220.93034995 5206.19509086 ... 1570.32387047 1464.85016412
 1424.4826199 ]","[3051.65741709 2935.87617323 2943.52101639 ... 1940.29648614 1782.23370555
 1700.50312756]","[20.75472281 14.64604341 15.34012366 ... 22.35252063 20.47049833
 19.29120973]",[0.3072468  0.29758653 0.25132796 ... 0.00335905 0.00392052 0.00385576],"[8990.11230469 9043.9453125  9043.9453125  ... 3305.34667969 3079.24804688
 2960.81542969]","[3.20421042e-05 3.02007406e-04 8.88952652e-04 ... 2.37228268e+00
 2.90850877e+00 2.97346823e+00]","[-0.05621764 -0.01396327 -0.02499715 ... -0.03886937 -0.03453468
 -0.01855281]",[0.34423828 0.46386719 0.57910156 ... 0.06298828 0.05859375 0.04492188],[0.02585901 0.02614918 0.02644296 ... 0.20718295 0.20757687 0.20797424]
[0.56757124 0.88421827 0.65928712 ... 0.28276276 0.28314756 0.40275303],[0.50483364 0.62101989 0.54451284 ... 0.51681267 0.5250804  0.44168216],[0.21321843 0.21038494 0.20738935 ... 0.24949693 0.24931337 0.24914977],"[4.08107034e-06 9.75109687e-02 2.36857814e+00 ... 1.12458127e+00
 1.10414743e+00 8.47924077e-01]","[-25.11057682  -3.48771504   3.03530481 ...  -1.29767791  -1.07060759
  -2.39232718]",[0.00166914 0.07323297 0.10629673 ... 0.07423953 0.06670214 0.06631283],"[3929.85323783 1821.67896392 1437.75553412 ... 2166.73791144 1841.54030624
 1651.19852915]","[3175.56257627 2519.72811032 2313.35948551 ... 3038.4642858  2829.74161893
 2661.09704235]","[28.79765827  9.84999808 11.08987446 ... 23.79000615 20.83158633
 21.03732727]",[0.01581438 0.00869642 0.00233176 ... 0.00455794 0.00368883 0.00322014],"[7310.52246094 4403.54003906 3692.94433594 ... 6190.79589844 5017.23632812
 4166.67480469]",[0.00204044 0.27978813 0.95367409 ... 0.68259139 0.73648122 0.67766309],"[ 0.04095558  0.00719593 -0.00449321 ...  0.00390674 -0.01371055
  0.00156189]",[0.30859375 0.32666016 0.32861328 ... 0.05371094 0.05175781 0.03808594],[0.01970266 0.01996611 0.02023168 ... 0.12279336 0.12274745 0.12270558]
[0.41545163 0.76594688 0.54562495 ... 0.57753792 0.39974837 0.48665473],[0.51084521 0.75987743 0.64935567 ... 0.60813755 0.54461442 0.50001685],[0.25365468 0.25273159 0.25196219 ... 0.27056605 0.27052808 0.27047271],"[1.59681799e-08 5.79245326e-04 1.22540464e-02 ... 2.04676138e+00
 2.04518609e+00 1.19908108e+00]","[-26.6247924  -18.88465178 -13.23345119 ...  -0.13467434  -2.74758237
  -3.07478079]",[0.0001412  0.00511282 0.00755336 ... 0.14069666 0.08423883 0.08893607],"[4298.19995715 2031.23095435 1996.35442108 ... 1843.6429805  1380.45587195
 1664.49580577]","[3010.59646797 2561.40018044 2603.93452545 ... 1939.94384761 1916.52277553
 2118.09091076]","[23.12391287 14.60929546 16.14135495 ... 16.3619261  16.91311742
 19.27538422]",[0.09528705 0.01904994 0.01072241 ... 0.0041412  0.00153931 0.00286535],"[7719.65332031 4963.40332031 5211.03515625 ... 3854.44335938 3445.3125
 4015.94238281]","[1.58521898e-04 2.44990750e-02 8.93494743e-02 ... 1.25984632e+00
 9.30785755e-01 8.15885675e-01]","[-0.00658086  0.00076445  0.00550502 ...  0.01843492  0.01821399
  0.01191859]",[0.33203125 0.35449219 0.36523438 ... 0.08740234 0.05859375 0.02880859],[0.10406875 0.10510696 0.10615333 ... 0.05434121 0.05393099 0.05352257]
[0.58506009 0.52905748 0.34304894 ... 0.19503631 0.22244962 0.28981207],[0.55409139 0.65184064 0.79754941 ... 0.47795392 0.50170375 0.753179  ],[0.26276725 0.26038106 0.25789297 ... 0.26470485 0.26365069 0.26256517],"[2.69046201e-07 1.36202828e-02 4.17142906e-01 ... 1.57615185e+01
 1.41207249e+01 1.04816476e+01]","[-27.37793822 -11.95784667  -5.6488669  ...  -0.57424171   0.48576862
   1.44690031]",[0.00050628 0.03650257 0.06637205 ... 0.26788184 0.24666044 0.24138188],"[2985.39796047 1895.91479563 1939.06363319 ... 2145.26407949 2144.080053
 2031.22725206]","[2219.54299816 1722.49047864 1671.06790592 ... 2479.22615316 2556.93579875
 2513.27379072]","[22.01290616 14.02031567 20.40024622 ... 22.25962958 21.86739811
 19.75723608]",[0.03484893 0.00802722 0.00455275 ... 0.00726638 0.00901082 0.01165196],"[5286.40136719 3326.87988281 3273.046875   ... 3875.9765625  4102.07519531
 3994.40917969]","[8.50633933e-04 1.78517217e-01 8.52933708e-01 ... 3.26868591e+00
 3.24591842e+00 3.27258426e+00]",[0.07664959 0.04706122 0.00493556 ... 0.00953927 0.01073975 0.00650265],[0.29833984 0.33935547 0.37597656 ... 0.07714844 0.07958984 0.06005859],[0.03880105 0.03926125 0.03972767 ... 0.2023401  0.20251624 0.2027021 ]
[0.7115006  0.45010173 0.3605851  ... 0.62911398 0.65991557 0.58182766],[0.49442949 0.70577798 0.54863924 ... 0.67280932 0.5540779  0.56797669],[0.25784579 0.25815453 0.25830537 ... 0.23185599 0.23300653 0.23423038],"[8.60279455e-08 1.86451853e-03 5.18360589e-02 ... 2.27069906e+00
 2.36309352e+00 1.16963785e+00]","[-25.69550796 -19.57197561 -11.60940472 ...  -0.19141028  -1.71597938
  -1.07089435]",[0.00033188 0.01160699 0.01666309 ... 0.09878521 0.09166788 0.09308717],"[4374.00372121 2518.50040634 2575.24748726 ... 3196.47855582 2730.76145284
 2811.16486889]","[3068.09847064 2818.21643285 2868.87787745 ... 3114.72139357 2899.04082232
 2928.16808583]","[21.84445317 17.31029388 21.90226828 ... 19.50525134 19.9001221
 17.8264073 ]",[0.11412616 0.02768224 0.0147666  ... 0.0575594  0.03117287 0.03636821],"[7913.45214844 5878.56445312 6266.16210938 ... 7407.421875   6395.36132812
 6459.9609375 ]","[4.09998263e-04 4.95288517e-02 2.19304122e-01 ... 1.55658477e+00
 1.46603339e+00 1.11752031e+00]","[ 0.02894195  0.00081328  0.00153008 ... -0.00168148  0.01089413
 -0.0075089 ]",[0.29492188 0.34814453 0.39208984 ... 0.13623047 0.13085938 0.08154297],[0.03860912 0.03894246 0.03927987 ... 0.21329439 0.21353972 0.21379027]
[0.65266354 0.68659059 0.34665771 ... 0.44629864 0.50673704 0.63591707],[0.47575164 0.58973418 0.68317063 ... 0.42379467 0.54083213 0.60802439],[0.28082672 0.28101714 0.2812148  ... 0.25825946 0.25642155 0.25463568],"[3.74044022e-10 1.42970617e-08 3.23045477e-07 ... 6.73100812e+00
 5.73084221e+00 4.47892465e+00]","[-27.22742269 -27.22742269 -27.22742269 ...   6.90348467   5.83966583
   5.64405461]","[6.8403447e-06 3.6237903e-05 8.2729523e-05 ... 1.6497895e-01 1.5981179e-01
 1.5511893e-01]","[5163.69283263 4655.31036336 4077.757223   ... 1788.22500151 1877.80974282
 1932.98729106]","[3043.45363171 2847.83957875 2789.88219026 ... 2133.60490259 2238.9523484
 2291.24435283]","[19.03699992 12.75032041 17.02018566 ... 18.16213345 18.36881704
 17.59682303]",[0.32268137 0.33213478 0.169948   ... 0.00327727 0.00799905 0.01048299],"[8839.37988281 7827.31933594 7504.32128906 ... 3692.94433594 3865.20996094
 4005.17578125]","[2.89803253e-05 2.14205848e-04 9.18908101e-04 ... 1.86105848e+00
 2.00160885e+00 2.01052986e+00]","[-0.0082608  -0.00039528  0.00255078 ...  0.00301548  0.00080007
  0.01103255]",[0.36328125 0.43847656 0.49121094 ... 0.05615234 0.05908203 0.04052734],[0.15951568 0.16053821 0.16156408 ... 0.21514779 0.21571584 0.21628687]
[0.46144143 0.69449738 0.43287086 ... 0.28460219 0.24286954 0.25033279],[0.4388767  0.58122964 0.82520577 ... 0.55288057 0.50477543 0.54507937],[0.28496537 0.2852683  0.28553111 ... 0.27666093 0.27629314 0.27584925],"[1.28514836e-07 3.74222533e-04 5.78674074e-03 ... 4.69270226e+00
 4.79350533e+00 4.14943655e+00]","[-26.98550433 -19.8260843  -13.96347597 ...   2.51550408   2.34050722
   1.9738138 ]",[0.0002585  0.00342656 0.00509907 ... 0.15064038 0.14074747 0.1404323 ],"[2900.49611696 2123.24946035 2114.39145673 ... 2229.65633197 2018.99287162
 1753.5386286 ]","[2989.82332531 2625.19738744 2757.81412025 ... 2587.78839824 2549.43624849
 2291.98000994]","[21.55053248 14.24579397 15.55411914 ... 24.54233117 22.55627288
 21.65233757]",[0.02458948 0.02729335 0.01999085 ... 0.00615992 0.00502306 0.00535178],"[6438.42773438 5081.8359375  5404.83398438 ... 4931.10351562 4403.54003906
 3574.51171875]","[3.65354547e-04 2.23129065e-02 7.62194993e-02 ... 1.71126872e+00
 1.69705643e+00 1.78431150e+00]","[ 0.04358674  0.01545293  0.00099623 ... -0.0216373  -0.03244629
 -0.02728405]",[0.28808594 0.30517578 0.31787109 ... 0.07666016 0.07080078 0.05371094],[0.088359   0.08942858 0.09050873 ... 0.16063986 0.16112336 0.16161477]
